Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,CRUDEOIL,243402,OPTFUT,CE,7800,CRUDEOIL22SEP7800CE,CRUDEOIL22SEP7800CE,CRUDEOIL 15SEP22 7800 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243403,OPTFUT,PE,7800,CRUDEOIL22SEP7800PE,CRUDEOIL22SEP7800PE,CRUDEOIL 15SEP22 7800 PE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243404,OPTFUT,CE,7850,CRUDEOIL22SEP7850CE,CRUDEOIL22SEP7850CE,CRUDEOIL 15SEP22 7850 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243405,OPTFUT,PE,7850,CRUDEOIL22SEP7850PE,CRUDEOIL22SEP7850PE,CRUDEOIL 15SEP22 7850 PE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243406,OPTFUT,CE,7900,CRUDEOIL22SEP7900CE,CRUDEOIL22SEP7900CE,CRUDEOIL 15SEP22 7900 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243407,OPTFUT,PE,7900,CRUDEOIL22SEP7900PE,CRUDEOIL22SEP7900PE,CRUDEOIL 15SEP22 7900 PE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243408,OPTFUT,CE,7950,CRUDEOIL22SEP7950CE,CRUDEOIL22SEP7950CE,CRUDEOIL 15SEP22 7950 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243409,OPTFUT,PE,7950,CRUDEOIL22SEP7950PE,CRUDEOIL22SEP7950PE,CRUDEOIL 15SEP22 7950 PE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243410,OPTFUT,CE,8000,CRUDEOIL22SEP8000CE,CRUDEOIL22SEP8000CE,CRUDEOIL 15SEP22 8000 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243411,OPTFUT,PE,8000,CRUDEOIL22SEP8000PE,CRUDEOIL22SEP8000PE,CRUDEOIL 15SEP22 8000 PE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243412,OPTFUT,CE,8050,CRUDEOIL22SEP8050CE,CRUDEOIL22SEP8050CE,CRUDEOIL 15SEP22 8050 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243413,OPTFUT,PE,8050,CRUDEOIL22SEP8050PE,CRUDEOIL22SEP8050PE,CRUDEOIL 15SEP22 8050 PE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243414,OPTFUT,CE,8100,CRUDEOIL22SEP8100CE,CRUDEOIL22SEP8100CE,CRUDEOIL 15SEP22 8100 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243415,OPTFUT,PE,8100,CRUDEOIL22SEP8100PE,CRUDEOIL22SEP8100PE,CRUDEOIL 15SEP22 8100 PE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243416,OPTFUT,CE,8150,CRUDEOIL22SEP8150CE,CRUDEOIL22SEP8150CE,CRUDEOIL 15SEP22 8150 CE,2022-09-15,100,0.1
MCX,mcx_fo,CRUDEOIL,243417,OPTFUT,PE,8150,CRUDEOIL22SEP8150PE,CRUDEOIL22SEP8150PE,CRUDEOIL 15SEP22 8150 PE,2022-09-15,100,0.1
